error,extraction_rule_id,safir_field_id,mask,definition,ruleset_id
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",59939fbe-8056-4668-ac00-af6d12a1e25c,DI16,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""16'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",6e8102ae-0391-437e-968e-bd3c078884f4,DI18,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""18'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",689d3bd4-3082-4b43-b8f0-82aea5c33eed,DI20,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""20'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",da1e8490-7787-44fc-b27f-e5bd539b9cd7,DI204,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""204'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",829a536a-2ee8-4605-b7ce-dedde0af02c4,RI21,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""21'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",e1d9febf-f91c-44d7-8777-1e3aa07d1528,RI22,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""22'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",d76cf403-cf9e-46a9-8a44-1d28c4d8c58e,RI23,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""23'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – RECETTES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",bf6116ec-b4b2-4c75-9640-705a82026082,DI21,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""21'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",9334f582-ec88-4e5b-bfa6-f8d9fda1ecde,DI22,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""22'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
"CHECK constraint failed: mask IN ('M57_CA', 'M57_CFU', 'M4_CA', 'M4_CFU', 'M57', 'M4')",65f642c8-8c52-4a28-a545-0c715275b317,DI23,CA,"{'""extract'"": {'""column'"": '""Opérations réelles (1)'"", '""identifiers'"": ['""23'""], '""section_header'"": ['""II – PRESENTATION GENERALE'"", '""BALANCE GENERALE – DEPENSES'""]}}",48f86eb6-476d-4f8a-84a3-0ad1979bccd4
